Observation ID,Paper ID,Sample / condition,Dopant (at.%),Fabrication technique,Deposition temp (C),Post-deposition temp (C),Vacuum pressure,Atmosphere,Gas mix,Thickness (nm),Mobility (cm^2/Vs),Resistivity (mohm·cm),Sheet resistance (ohm/sq),Carrier concentration (cm^-3),n at wavelength,k at wavelength,Wavelength (nm),Work function / vacuum level (eV),Electron affinity (eV),Fermi energy (eV),Valence band edge (eV),Bandgap (eV),Current density (mA/cm^2),FF (%),Efficiency (%),Oxygen vacancies / notes,Property name,Property value,Property unit,Source figure/table,Confidence,Comments,Column1,Column2
O11,Morales-Masis_2018,"As-deposited, r(O2)=0.050%",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.050%,100,20.3,0.7390949548196242,,416000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,4.16e20 cm^-3; 20.3 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O12,Morales-Masis_2018,"As-deposited, r(O2)=0.110%",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.110%,100,40.5,0.46003383633394235,,335000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,3.35e20 cm^-3; 40.5 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O13,Morales-Masis_2018,"As-deposited, r(O2)=0.220%",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.220%,100,49.4,0.6546442359569511,,193000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,1.93e20 cm^-3; 49.4 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O14,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.000%",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.000%,100,30.4,0.9776799928666609,,210000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,2.10e20 cm^-3; 30.4 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O15,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.025%",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.025%,100,67.1,0.29718216930815977,,313000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,3.13e20 cm^-3; 67.1 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O16,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.050%",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.050%,100,74.7,0.21534623285101795,,388000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,3.88e20 cm^-3; 74.7 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O17,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.110%",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.110%,100,103.8,0.2515905657992423,,239000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,2.39e20 cm^-3; 103.8 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O18,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.220%",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.220%,100,74.7,0.6143701348984922,,136000000000000020000,,,,,,,,,,,,,Carrier concentration and Hall mobility,1.36e20 cm^-3; 74.7 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O19,Morales-Masis_2018,"As-deposited, r(O2)=0.05%, 1600 nm",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.05%,100,,,,,,,1600,,,,,,,,,,Absorptance,18.2,%,Fig. 2 digitized CSV,Medium,Calibrated graphical extraction from Figure_02_data.csv; used to capture the near-infrared absorption trend.,,
O20,Morales-Masis_2018,"As-deposited, r(O2)=0.11%, 1600 nm",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.11%,100,,,,,,,1600,,,,,,,,,,Absorptance,12.1,%,Fig. 2 digitized CSV,Medium,Calibrated graphical extraction from Figure_02_data.csv; used to capture the near-infrared absorption trend.,,
O21,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.05%, 1600 nm",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.05%,100,,,,,,,1600,,,,,,,,,,Absorptance,8.9,%,Fig. 2 digitized CSV,Medium,Calibrated graphical extraction from Figure_02_data.csv; used to capture the near-infrared absorption trend.,,
O22,Morales-Masis_2018,"Annealed 200 C, r(O2)=0.11%, 1600 nm",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.11%,100,,,,,,,1600,,,,,,,,,,Absorptance,4.8,%,Fig. 2 digitized CSV,Medium,Calibrated graphical extraction from Figure_02_data.csv; used to capture the near-infrared absorption trend.,,
