"timestamp","oldPdf","newPdf","oldMarkdown","newMarkdown","status","reason","doi"
"2026-08-13T14:25:57.2679595+01:00","Combining physical- and scenario-based modeling to identify tolerable degradation rates of.pdf","2026_Blom_Vogt_SOLMAT_Combining-physical.pdf","Combining physical- and scenario-based modeling to identify tolerable degradation rates of.md","2026_Blom_Vogt_SOLMAT_Combining-physical.md","renamed","","10.1016/j.solmat.2026.114169"
"2026-08-13T14:25:57.2679595+01:00","Combining_Drift-Diffusion_and_Equivalent-Circuit_Models_for_Efficient_3D_Tandem_Solar_Cell_Simulations.pdf","2022_Fell_Glunz_JPV_Combining-Drift-Diffusion.pdf","Combining_Drift-Diffusion_and_Equivalent-Circuit_Models_for_Efficient_3D_Tandem_Solar_Cell_Simulations.md","2022_Fell_Glunz_JPV_Combining-Drift-Diffusion.md","renamed","","10.1109/JPHOTOV.2022.3209608"
"2026-08-13T14:25:57.2679595+01:00","Comparison of PV Cell Temperature Estimation by Different Thermal Power Exchange Calculation Methods.pdf","2024_MBardhi_GMTina_RAP_Comparison-PV-Cell.pdf","Comparison of PV Cell Temperature Estimation by Different Thermal Power Exchange Calculation Methods.md","2024_MBardhi_GMTina_RAP_Comparison-PV-Cell.md","renamed","","10.24084/repqj10.417"
"2026-08-13T14:25:57.2679595+01:00","Comparison on Module Performance and Degradation Robustness of Two‐ Three‐ and.pdf","2026_Blom_Santbergen_PIP_Comparison-Module.pdf","Comparison on Module Performance and Degradation Robustness of Two‐ Three‐ and.md","2026_Blom_Santbergen_PIP_Comparison-Module.md","renamed","","10.1002/pip.70066"
"2026-08-13T14:25:57.2679595+01:00","Comprehensive_Approach_to_Modeling_and_Simulation_of_Photovoltaic_Arrays.pdf","2009_Villalva_Filho_TPEL_Comprehensive-Approach.pdf","Comprehensive_Approach_to_Modeling_and_Simulation_of_Photovoltaic_Arrays.md","2009_Villalva_Filho_TPEL_Comprehensive-Approach.md","renamed","","10.1109/TPEL.2009.2013862"
"2026-08-13T14:25:57.2679595+01:00","Determination of photovoltaic modules parameters at different operating conditions using a novel bird mating optimizer approach.pdf","2015_Askarzadeh_dosSantosCoelho_ECM_Determination-photovoltaic.pdf","Determination of photovoltaic modules parameters at different operating conditions using a novel bird mating optimizer approach.md","2015_Askarzadeh_dosSantosCoelho_ECM_Determination-photovoltaic.md","renamed","","10.1016/j.enconman.2014.10.025"
"2026-08-13T14:25:57.2679595+01:00","Direct and indirect uncertainties in the prediction of tilted irradiance.pdf","2009_Gueymard_Gueymard_SOLENER_Direct-indirect-prediction.pdf","Direct and indirect uncertainties in the prediction of tilted irradiance.md","2009_Gueymard_Gueymard_SOLENER_Direct-indirect-prediction.md","renamed","","10.1016/j.solener.2008.11.004"
"2026-08-13T14:25:57.2679595+01:00","Dynamic thermal model of solar PV systems under varying climatic conditions.pdf","2013_TorresLobera_Valkealahti_SOLENER_Dynamic-thermal-model.pdf","Dynamic thermal model of solar PV systems under varying climatic conditions.md","2013_TorresLobera_Valkealahti_SOLENER_Dynamic-thermal-model.md","renamed","","10.1016/j.solener.2013.03.028"
"2026-08-13T14:25:57.2679595+01:00","Elucidating the efficiency limit of silicon-based monolithic tandem cells through the combination of Auger and Shockley–Queisser limits.pdf","2025_Fell_Glunz_ES_Elucidating-efficiency.pdf","Elucidating the efficiency limit of silicon-based monolithic tandem cells through the combination of Auger and Shockley–Queisser limits.md","2025_Fell_Glunz_ES_Elucidating-efficiency.md","renamed","","10.1039/d5el00085h"
"2026-08-13T14:25:57.2679595+01:00","Energy Yield Modeling of Perovskite Silicon Tandem Photovoltaics Degradation and Total.pdf","2024_Orooji_Paetzold_ET_Energy-Yield-Modeling.pdf","Energy Yield Modeling of Perovskite Silicon Tandem Photovoltaics Degradation and Total.md","2024_Orooji_Paetzold_ET_Energy-Yield-Modeling.md","renamed","","10.1002/ente.202400998"
"2026-08-13T14:25:57.2679595+01:00","Energy yield modelling of perovskite silicon two-terminal tandem PV modules with flat and textured interfaces.pdf","2018_Lehr_Paetzold_SEAF_Energy-yield-modelling.pdf","Energy yield modelling of perovskite silicon two-terminal tandem PV modules with flat and textured interfaces.md","2018_Lehr_Paetzold_SEAF_Energy-yield-modelling.md","renamed","","10.1039/c8se00465j"
"2026-08-13T14:25:57.2679595+01:00","Energy yield modelling of textured perovskite-silicon tandem photovoltaics with thick perovskite top cells.pdf","2022_Gota_Paetzold_OPTEXP_Energy-yield-modelling.pdf","Energy yield modelling of textured perovskite-silicon tandem photovoltaics with thick perovskite top cells.md","2022_Gota_Paetzold_OPTEXP_Energy-yield-modelling.md","renamed","","10.1364/OE.447069"
"2026-08-13T14:25:57.2679595+01:00","Energy yield of all thin‐film perovskite CIGS tandem solar modules.pdf","2019_Langenhorst_Paetzold_PIP_Energy-yield-all.pdf","Energy yield of all thin‐film perovskite CIGS tandem solar modules.md","2019_Langenhorst_Paetzold_PIP_Energy-yield-all.md","renamed","","10.1002/pip.3091"
"2026-08-13T14:25:57.2679595+01:00","Energy yield of bifacial textured perovskite-silicon tandem photovoltaic modules.pdf","2020_Lehr_Paetzold_SOLMAT_Energy-yield-bifacial.pdf","Energy yield of bifacial textured perovskite-silicon tandem photovoltaic modules.md","2020_Lehr_Paetzold_SOLMAT_Energy-yield-bifacial.md","renamed","","10.1016/j.solmat.2019.110367"
"2026-08-13T14:25:57.2679595+01:00","Energy Yield Prediction of Bifacial Perovskite Silicon Tandem Photovoltaic Modules.pdf","2023_Hao_Li_SOLARRRL_Energy-Yield-Prediction.pdf","Energy Yield Prediction of Bifacial Perovskite Silicon Tandem Photovoltaic Modules.md","2023_Hao_Li_SOLARRRL_Energy-Yield-Prediction.md","renamed","","10.1002/solr.202300218"
"2026-08-13T14:25:57.2679595+01:00","Enhanced Performance of Two- and Three-Terminal Perovksite-Silicon Tandem Solar Panels Through Optimized Orientation and Tracking.pdf","2026_Tufail_Butt_JSEE_Enhanced-Performance.pdf","Enhanced Performance of Two- and Three-Terminal Perovksite-Silicon Tandem Solar Panels Through Optimized Orientation and Tracking.md","2026_Tufail_Butt_JSEE_Enhanced-Performance.md","renamed","","10.1115/1.4071046"
"2026-08-13T14:25:57.2679595+01:00","Enhancing perovskite-silicon tandem solar cells through numerical optical and electric optimizations for light management.pdf","2024_Yang_Bao_OPTEXP_Enhancing-perovskite.pdf","Enhancing perovskite-silicon tandem solar cells through numerical optical and electric optimizations for light management.md","2024_Yang_Bao_OPTEXP_Enhancing-perovskite.md","renamed","","10.1364/OE.513887"
"2026-08-13T14:25:57.2679595+01:00","Error in the yield forecast of c-Si systems due to spectral effects.pdf","2024_McIntosh_Sudbury_2I5PSCP_Error-Yield-Forecast.pdf","Error in the yield forecast of c-Si systems due to spectral effects.md","2024_McIntosh_Sudbury_2I5PSCP_Error-Yield-Forecast.md","renamed","","10.1109/PVSC57443.2024.10748686"
"2026-08-13T14:25:57.2679595+01:00","Estimation of direct normal irradiance from measured global and corrected diffuse horizontal irradiance.pdf","2014_Kotti_Kazantzidis_E_Estimation-direct.pdf","Estimation of direct normal irradiance from measured global and corrected diffuse horizontal irradiance.md","2014_Kotti_Kazantzidis_E_Estimation-direct.md","renamed","","10.1016/j.energy.2014.04.012"
"2026-08-13T14:25:57.2679595+01:00","Experimental and numerical modeling of photovoltaic modules temperature under varying ambient conditions.pdf","","Experimental and numerical modeling of photovoltaic modules temperature under varying ambient conditions.md","","skipped","Duplicate target metadata","10.1016/j.enconman.2024.118563"
"2026-08-13T14:25:57.2679595+01:00","Experimental and numerical modeling of photovoltaic modules.pdf","","Experimental and numerical modeling of photovoltaic modules.md","","skipped","Duplicate target metadata","10.1016/j.enconman.2024.118563"
"2026-08-13T14:25:57.2679595+01:00","Experimental operating cell temperature assessment of BIPV with different installation configurations on roofs under Mediterranean climate.pdf","2014_DOrazio_DiGiuseppe_RE_Experimental-operating.pdf","Experimental operating cell temperature assessment of BIPV with different installation configurations on roofs under Mediterranean climate.md","2014_DOrazio_DiGiuseppe_RE_Experimental-operating.md","renamed","","10.1016/j.renene.2014.02.009"
"2026-08-13T14:25:57.2679595+01:00","Experimentally validated thermal modeling for temperature prediction of photovoltaic modules under variable environmental conditions.pdf","2024_Keddouda_Ihaddadene_RE_Experimentally-validated.pdf","Experimentally validated thermal modeling for temperature prediction of photovoltaic modules under variable environmental conditions.md","2024_Keddouda_Ihaddadene_RE_Experimentally-validated.md","renamed","","10.1016/j.renene.2024.120922"
"2026-08-13T14:25:57.2679595+01:00","From lab to reality how non-AM15 conditions shape the future of.pdf","2025_Zhang_Groves_ES_lab-reality-how-non.pdf","From lab to reality how non-AM15 conditions shape the future of.md","2025_Zhang_Groves_ES_lab-reality-how-non.md","renamed","","10.1039/d5el00096c"
"2026-08-13T14:25:57.2679595+01:00","From Sunrise to Sunset Unraveling Metastability inPerovskite Solar Cells by Coupled Outdoor Testing andEnergy Yield Modelling.pdf","2024_Remec_Topic_AEM_Sunrise-Sunset-Unraveling.pdf","From Sunrise to Sunset Unraveling Metastability inPerovskite Solar Cells by Coupled Outdoor Testing andEnergy Yield Modelling.md","2024_Remec_Topic_AEM_Sunrise-Sunset-Unraveling.md","renamed","","10.1002/aenm.202304452"
"2026-08-13T14:25:57.2679595+01:00","General temperature dependence of solar cell performance and implications for.pdf","2003_Green_Green_PIP_General-temperature.pdf","General temperature dependence of solar cell performance and implications for.md","2003_Green_Green_PIP_General-temperature.md","renamed","","10.1002/pip.496"
"2026-08-13T14:25:57.2679595+01:00","GenPro4_Optical_Model_for_Solar_Cell_Simulation_and_Its_Application_to_Multijunction_Solar_Cells.pdf","2017_Santbergen_Zeman_JPV_GenPro4-Optical-Model.pdf","GenPro4_Optical_Model_for_Solar_Cell_Simulation_and_Its_Application_to_Multijunction_Solar_Cells.md","2017_Santbergen_Zeman_JPV_GenPro4-Optical-Model.md","renamed","","10.1109/JPHOTOV.2017.2669640"
"2026-08-13T14:25:57.2679595+01:00","Global prediction of the energy yields for hybrid perovskite Si tandem and Si hetrojunction single solar modules.pdf","2022_Kato_Fujiwara_PIP_Global-prediction.pdf","Global prediction of the energy yields for hybrid perovskite Si tandem and Si hetrojunction single solar modules.md","2022_Kato_Fujiwara_PIP_Global-prediction.md","renamed","","10.1002/pip.3569"
"2026-08-13T14:25:57.2679595+01:00","Historical and future learning for the new era of multi-terawatt photovoltaics.pdf","2025_Alberi_Bett_NE_Historical-future.pdf","Historical and future learning for the new era of multi-terawatt photovoltaics.md","2025_Alberi_Bett_NE_Historical-future.md","renamed","","10.1038/s41560-025-01929-z"
"2026-08-13T14:25:57.2679595+01:00","Identification of unknown parameters of solar cell models A comprehensive overview of available approaches.pdf","2018_Abbassi_Chebbi_RSER_Identification-unknown.pdf","Identification of unknown parameters of solar cell models A comprehensive overview of available approaches.md","2018_Abbassi_Chebbi_RSER_Identification-unknown.md","renamed","","10.1016/j.rser.2018.03.011"
"2026-08-13T14:25:57.2679595+01:00","Impact of Luminescent Coupling on Perovskite‐Silicon Tandem External Quantum Efficiency.pdf","2025_Zeder_Aeberhard_SOLARRRL_Impact-Luminescent.pdf","Impact of Luminescent Coupling on Perovskite‐Silicon Tandem External Quantum Efficiency.md","2025_Zeder_Aeberhard_SOLARRRL_Impact-Luminescent.md","renamed","","10.1002/solr.202500823"
"2026-08-13T14:25:57.2679595+01:00","Improvement and validation of a model for photovoltaic array performance.pdf","2006_DeSoto_Beckman_SOLENER_Improvement-validation.pdf","Improvement and validation of a model for photovoltaic array performance.md","2006_DeSoto_Beckman_SOLENER_Improvement-validation.md","renamed","","10.1016/j.solener.2005.06.010"
"2026-08-13T14:25:57.2679595+01:00","Improving the Comprehensive Modeling Framework for Energy Yield Simulations of.pdf","2026_Blom_Santbergen_ATS_Improving-Comprehensive.pdf","Improving the Comprehensive Modeling Framework for Energy Yield Simulations of.md","2026_Blom_Santbergen_ATS_Improving-Comprehensive.md","renamed","","10.1002/adts.202501793"
"2026-08-13T14:25:57.2679595+01:00","Indium-free perovskite silicon tandem solar cells with tin.pdf","2026_Shi_Zhang_S_Indium-free-perovskite.pdf","Indium-free perovskite silicon tandem solar cells with tin.md","2026_Shi_Zhang_S_Indium-free-perovskite.md","renamed","","10.1126/science.aef5355"
"2026-08-13T14:25:57.2679595+01:00","Integrated memristor for mitigating reverse-bias in perovksite solar cells.pdf","2026_Mohammadi_Tress_N_Integrated-memristor.pdf","Integrated memristor for mitigating reverse-bias in perovksite solar cells.md","2026_Mohammadi_Tress_N_Integrated-memristor.md","renamed","","10.1038/s41586-026-10275-3"
"2026-08-13T14:25:57.2679595+01:00","Intercomparison of Temperature Sensors for Outdoor Montoring of Photovoltaic Modules.pdf","2013_Jankovec_Topic_JSEE_Intercomparison-Temperature.pdf","Intercomparison of Temperature Sensors for Outdoor Montoring of Photovoltaic Modules.md","2013_Jankovec_Topic_JSEE_Intercomparison-Temperature.md","renamed","","10.1115/1.4023518"
"2026-08-13T14:25:57.2679595+01:00","Introducing a comprehensive physics-based modelling frameowrk for tandem and other PV systems.pdf","2022_Vogt_Isabella_SOLMAT_Introducing-comprehensive.pdf","Introducing a comprehensive physics-based modelling frameowrk for tandem and other PV systems.md","2022_Vogt_Isabella_SOLMAT_Introducing-comprehensive.md","renamed","","10.1016/j.solmat.2022.111944"
"2026-08-13T14:25:57.2679595+01:00","Matrix method for thin film optics.pdf","","Matrix method for thin film optics.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Measuring and estimating the temperature of photovoltaic modules.pdf","2014_Mavromatakis_Franghiadakis_SOLENER_Measuring-estimating.pdf","Measuring and estimating the temperature of photovoltaic modules.md","2014_Mavromatakis_Franghiadakis_SOLENER_Measuring-estimating.md","renamed","","10.1016/j.solener.2014.10.009"
"2026-08-13T14:25:57.2679595+01:00","Methodology of energy yield modelling of perovskite-based multi-junction photovoltaics.pdf","2019_Schmager_Paetzold_OPTEXP_Methodology-energy.pdf","Methodology of energy yield modelling of perovskite-based multi-junction photovoltaics.md","2019_Schmager_Paetzold_OPTEXP_Methodology-energy.md","renamed","","10.1364/OE.27.00A507"
"2026-08-13T14:25:57.2679595+01:00","Method_of_Extracting_Solar_Cell_Parameters_From_Derivatives_of_Dark_IV_Curves.pdf","2017_Hallam_Wilshaw_JPV_Method-Extracting.pdf","Method_of_Extracting_Solar_Cell_Parameters_From_Derivatives_of_Dark_IV_Curves.md","2017_Hallam_Wilshaw_JPV_Method-Extracting.md","renamed","","10.1109/JPHOTOV.2017.2731778"
"2026-08-13T14:25:57.2679595+01:00","Modeling and circuit-based simulation of photovoltaic arrays.pdf","","Modeling and circuit-based simulation of photovoltaic arrays.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Modeling Daylight Availability and Irradiance Components from Direct and Global Irradiance.pdf","","Modeling Daylight Availability and Irradiance Components from Direct and Global Irradiance.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Modelling and predicting real-world lifetime of perovskite-silicon tandem solar cells using advanced energy yield models with degradation kinetics.pdf","2026_Orooji_Paetzold_ES_Modelling-predicting.pdf","Modelling and predicting real-world lifetime of perovskite-silicon tandem solar cells using advanced energy yield models with degradation kinetics.md","2026_Orooji_Paetzold_ES_Modelling-predicting.md","renamed","","10.1039/d6el00021e"
"2026-08-13T14:25:57.2679595+01:00","Modelling bifacial irradiance – Step-by-step comparison and validation of view factor and ray tracing models.pdf","2024_Ernst_Becker_AE_Modelling-bifacial.pdf","Modelling bifacial irradiance – Step-by-step comparison and validation of view factor and ray tracing models.md","2024_Ernst_Becker_AE_Modelling-bifacial.md","renamed","","10.1016/j.apenergy.2024.123574"
"2026-08-13T14:25:57.2679595+01:00","Modelling of thin-film silicon solar cells.pdf","2013_Zeman_Jager_SOLMAT_Modelling-thin-film.pdf","Modelling of thin-film silicon solar cells.md","2013_Zeman_Jager_SOLMAT_Modelling-thin-film.md","renamed","","10.1016/j.solmat.2013.05.037"
"2026-08-13T14:25:57.2679595+01:00","Model‐Chain Validation for Estimating the Energy Yield of Bifacial Perovskite Silicon Tandem.pdf","2022_Tillmann_Becker_SOLARRRL_Model-Chain-Validation.pdf","Model‐Chain Validation for Estimating the Energy Yield of Bifacial Perovskite Silicon Tandem.md","2022_Tillmann_Becker_SOLARRRL_Model-Chain-Validation.md","renamed","","10.1002/solr.202200079"
"2026-08-13T14:25:57.2679595+01:00","Multilayer optical calculations.pdf","","Multilayer optical calculations.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Numerical optical optimization of monolithic planar perovskite-silicon tandem solar cells with regular and inverted device architectures.pdf","2017_Jager_Albrecht_OPTEXP_Numerical-optical.pdf","Numerical optical optimization of monolithic planar perovskite-silicon tandem solar cells with regular and inverted device architectures.md","2017_Jager_Albrecht_OPTEXP_Numerical-optical.md","renamed","","10.1364/OE.25.00A473"
"2026-08-13T14:25:57.2679595+01:00","On the quantification of Auger recombination in crystalline silicon.pdf","2022_Black_Macdonald_SOLMAT_quantification-Auger.pdf","On the quantification of Auger recombination in crystalline silicon.md","2022_Black_Macdonald_SOLMAT_quantification-Auger.md","renamed","","10.1016/j.solmat.2021.111428"
"2026-08-13T14:25:57.2679595+01:00","Open-source integrated optical modelling with RayFlare.pdf","","Open-source integrated optical modelling with RayFlare.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Open‐source photovoltaic model pipeline validation against well‐characterized.pdf","2024_Deville_Stein_PIP_Open-source-photovoltaic.pdf","Open‐source photovoltaic model pipeline validation against well‐characterized.md","2024_Deville_Stein_PIP_Open-source-photovoltaic.md","renamed","","10.1002/pip.3763"
"2026-08-13T14:25:57.2679595+01:00","Optical model for multilayer structures with.pdf","","Optical model for multilayer structures with.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Optical simulation of photovoltaic modules with.pdf","2016_Tucher_Blasi_OPTEXP_Optical-simulation.pdf","Optical simulation of photovoltaic modules with.md","2016_Tucher_Blasi_OPTEXP_Optical-simulation.md","renamed","","10.1364/OE.24.0A1083"
"2026-08-13T14:25:57.2679595+01:00","Optimal ground coverage ratios for tracked fixed-tilt and vertical.pdf","2023_Tonita_Hinzer_SOLENER_Optimal-ground-coverage.pdf","Optimal ground coverage ratios for tracked fixed-tilt and vertical.md","2023_Tonita_Hinzer_SOLENER_Optimal-ground-coverage.md","renamed","","10.1016/j.solener.2023.04.038"
"2026-08-13T14:25:57.2679595+01:00","Optimizing energy yield of monolithic perovskite-silicon tandem solar cells in real-world Conditions - The impact of luminescent coupling.pdf","2025_Nguyen_Nguyen_SOLMAT_Optimizing-energy.pdf","Optimizing energy yield of monolithic perovskite-silicon tandem solar cells in real-world Conditions - The impact of luminescent coupling.md","2025_Nguyen_Nguyen_SOLMAT_Optimizing-energy.md","renamed","","10.1016/j.solmat.2025.113730"
"2026-08-13T14:25:57.2679595+01:00","Perovskite Silicon Tandem Solar Cells  Effect of Luminescent Coupling and Bifaciality.pdf","2021_Jager_Becker_SOLARRRL_Perovskite-Silicon.pdf","Perovskite Silicon Tandem Solar Cells  Effect of Luminescent Coupling and Bifaciality.md","2021_Jager_Becker_SOLARRRL_Perovskite-Silicon.md","renamed","","10.1002/solr.202000628"
"2026-08-13T14:25:57.2679595+01:00","Photovoltaic Module Cell Temperature Estimation Under Various Environmental Conditions - Preliminary Experimental and Theoretical Study.pdf","2025_KardasAncic_Gvero_TS_Photovoltaic-module.pdf","Photovoltaic Module Cell Temperature Estimation Under Various Environmental Conditions - Preliminary Experimental and Theoretical Study.md","2025_KardasAncic_Gvero_TS_Photovoltaic-module.md","renamed","","10.2298/TSCI241224049K"
"2026-08-13T14:25:57.2679595+01:00","Photovoltaic_module_cell_temperature_measurements_using_linear_interpolation_technique.pdf","","Photovoltaic_module_cell_temperature_measurements_using_linear_interpolation_technique.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Predicting and optimising the energy yield of perovskite-on-silicon tandem solar cells under real world conditions.pdf","2017_Horantner_Snaith_EAES_Predicting-optimising.pdf","Predicting and optimising the energy yield of perovskite-on-silicon tandem solar cells under real world conditions.md","2017_Horantner_Snaith_EAES_Predicting-optimising.md","renamed","","10.1039/c7ee01232b"
"2026-08-13T14:25:57.2679595+01:00","Prediction of the open‐circuit voltage of solar cells from the steady‐state.pdf","","Prediction of the open‐circuit voltage of solar cells from the steady‐state.md","","skipped","DOI unresolved or title mismatch","10.1002/(SICI"
"2026-08-13T14:25:57.2679595+01:00","prospects-for-climate-specific-design-of-perovskite-silicon-tandem-solar-cells-and-the-influence-of-degradation-rates.pdf","2025_Raitani_Nair_ACSAEM_Prospects-Climate.pdf","prospects-for-climate-specific-design-of-perovskite-silicon-tandem-solar-cells-and-the-influence-of-degradation-rates.md","2025_Raitani_Nair_ACSAEM_Prospects-Climate.md","renamed","","10.1021/acsaem.5c01634"
"2026-08-13T14:25:57.2679595+01:00","PV multiscale modelling of perovskite-silicon two-terminal devices from accurate cell performance simulation to energy yield predict.pdf","2025_Procel_Isabella_SOLMAT_PV-multiscale-modelling.pdf","PV multiscale modelling of perovskite-silicon two-terminal devices from accurate cell performance simulation to energy yield predict.md","2025_Procel_Isabella_SOLMAT_PV-multiscale-modelling.md","renamed","","10.1016/j.solmat.2025.113864"
"2026-08-13T14:25:57.2679595+01:00","Rapid and Accurate Determination of Series Resistance and Fill Factor Losses in Industrial Silicon Solar Cells.pdf","","Rapid and Accurate Determination of Series Resistance and Fill Factor Losses in Industrial Silicon Solar Cells.md","","skipped","No DOI near paper header",""
