filename,path,size_bytes,modified
Elucidating the efficiency limit of silicon-based monolithic tandem cells through the combination of Auger and Shockley–Queisser limits.pdf,read or scanned\Elucidating the efficiency limit of silicon-based monolithic tandem cells through the combination of Auger and Shockley–Queisser limits.pdf,1512297,2026-02-24T08:33:51
Energy Yield Modeling of Perovskite Silicon Tandem Photovoltaics Degradation and Total.pdf,read or scanned\Energy Yield Modeling of Perovskite Silicon Tandem Photovoltaics Degradation and Total.pdf,4970859,2026-02-16T16:21:07
Energy yield modelling of perovskite silicon two-terminal tandem PV modules with flat and textured interfaces.pdf,read or scanned\Energy yield modelling of perovskite silicon two-terminal tandem PV modules with flat and textured interfaces.pdf,1103779,2026-04-09T11:21:33
Energy yield modelling of textured perovskite-silicon tandem photovoltaics with thick perovskite top cells.pdf,read or scanned\Energy yield modelling of textured perovskite-silicon tandem photovoltaics with thick perovskite top cells.pdf,3478298,2025-12-08T13:25:41
Energy yield of all thin‐film perovskite CIGS tandem solar modules.pdf,read or scanned\Energy yield of all thin‐film perovskite CIGS tandem solar modules.pdf,1503686,2026-05-01T10:06:08
Energy yield of bifacial textured perovskite-silicon tandem photovoltaic modules.pdf,read or scanned\Energy yield of bifacial textured perovskite-silicon tandem photovoltaic modules.pdf,2960026,2026-04-30T16:23:07
Energy Yield Prediction of Bifacial Perovskite Silicon Tandem Photovoltaic Modules.pdf,read or scanned\Energy Yield Prediction of Bifacial Perovskite Silicon Tandem Photovoltaic Modules.pdf,3105569,2026-04-30T15:23:00
Enhanced Performance of Two- and Three-Terminal Perovksite-Silicon Tandem Solar Panels Through Optimized Orientation and Tracking.pdf,read or scanned\Enhanced Performance of Two- and Three-Terminal Perovksite-Silicon Tandem Solar Panels Through Optimized Orientation and Tracking.pdf,1540360,2026-04-01T12:03:47
Enhancing perovskite-silicon tandem solar cells through numerical optical and electric optimizations for light management.pdf,read or scanned\Enhancing perovskite-silicon tandem solar cells through numerical optical and electric optimizations for light management.pdf,3542026,2025-12-08T16:00:43
Error in the yield forecast of c-Si systems due to spectral effects.pdf,read or scanned\Error in the yield forecast of c-Si systems due to spectral effects.pdf,696398,2026-02-02T16:05:01
Estimation of direct normal irradiance from measured global and corrected diffuse horizontal irradiance.pdf,read or scanned\Estimation of direct normal irradiance from measured global and corrected diffuse horizontal irradiance.pdf,2616653,2026-02-04T14:16:01
Experimental and numerical modeling of photovoltaic modules temperature under varying ambient conditions.pdf,read or scanned\Experimental and numerical modeling of photovoltaic modules temperature under varying ambient conditions.pdf,6268997,2026-08-06T12:07:42
Experimental and numerical modeling of photovoltaic modules.pdf,read or scanned\Experimental and numerical modeling of photovoltaic modules.pdf,6217260,2026-02-12T15:27:37
Experimental operating cell temperature assessment of BIPV with different installation configurations on roofs under Mediterranean climate.pdf,read or scanned\Experimental operating cell temperature assessment of BIPV with different installation configurations on roofs under Mediterranean climate.pdf,4894340,2026-08-04T12:23:05
Experimentally validated thermal modeling for temperature prediction of photovoltaic modules under variable environmental conditions.pdf,read or scanned\Experimentally validated thermal modeling for temperature prediction of photovoltaic modules under variable environmental conditions.pdf,7741866,2026-08-06T14:11:02
From lab to reality how non-AM15 conditions shape the future of.pdf,read or scanned\From lab to reality how non-AM15 conditions shape the future of.pdf,2845786,2026-04-27T10:48:56
From Sunrise to Sunset Unraveling Metastability inPerovskite Solar Cells by Coupled Outdoor Testing andEnergy Yield Modelling.pdf,read or scanned\From Sunrise to Sunset Unraveling Metastability inPerovskite Solar Cells by Coupled Outdoor Testing andEnergy Yield Modelling.pdf,3044017,2026-02-17T13:30:51
General temperature dependence of solar cell performance and implications for.pdf,read or scanned\General temperature dependence of solar cell performance and implications for.pdf,86122,2025-11-24T16:54:54
GenPro4_Optical_Model_for_Solar_Cell_Simulation_and_Its_Application_to_Multijunction_Solar_Cells.pdf,read or scanned\GenPro4_Optical_Model_for_Solar_Cell_Simulation_and_Its_Application_to_Multijunction_Solar_Cells.pdf,2372848,2026-07-01T15:13:14
Global prediction of the energy yields for hybrid perovskite Si tandem and Si hetrojunction single solar modules.pdf,read or scanned\Global prediction of the energy yields for hybrid perovskite Si tandem and Si hetrojunction single solar modules.pdf,25394048,2026-05-04T16:47:22
Historical and future learning for the new era of multi-terawatt photovoltaics.pdf,read or scanned\Historical and future learning for the new era of multi-terawatt photovoltaics.pdf,1059195,2026-01-20T16:30:01
Identification of unknown parameters of solar cell models A comprehensive overview of available approaches.pdf,read or scanned\Identification of unknown parameters of solar cell models A comprehensive overview of available approaches.pdf,905852,2026-02-17T14:11:46
Impact of Luminescent Coupling on Perovskite‐Silicon Tandem External Quantum Efficiency.pdf,read or scanned\Impact of Luminescent Coupling on Perovskite‐Silicon Tandem External Quantum Efficiency.pdf,1797605,2026-02-04T17:11:33
Improvement and validation of a model for photovoltaic array performance.pdf,read or scanned\Improvement and validation of a model for photovoltaic array performance.pdf,510019,2025-10-17T11:36:03
Improving the Comprehensive Modeling Framework for Energy Yield Simulations of.pdf,read or scanned\Improving the Comprehensive Modeling Framework for Energy Yield Simulations of.pdf,4139127,2026-05-20T15:19:04
Indium-free perovskite silicon tandem solar cells with tin.pdf,read or scanned\Indium-free perovskite silicon tandem solar cells with tin.pdf,1981769,2026-06-29T11:08:46
Integrated memristor for mitigating reverse-bias in perovksite solar cells.pdf,read or scanned\Integrated memristor for mitigating reverse-bias in perovksite solar cells.pdf,20679100,2026-03-31T12:04:16
Intercomparison of Temperature Sensors for Outdoor Montoring of Photovoltaic Modules.pdf,read or scanned\Intercomparison of Temperature Sensors for Outdoor Montoring of Photovoltaic Modules.pdf,3402998,2026-08-04T17:04:49
Introducing a comprehensive physics-based modelling frameowrk for tandem and other PV systems.pdf,read or scanned\Introducing a comprehensive physics-based modelling frameowrk for tandem and other PV systems.pdf,8923157,2025-10-29T12:47:46
Matrix method for thin film optics.pdf,read or scanned\Matrix method for thin film optics.pdf,540072,2026-07-10T14:43:51
Measuring and estimating the temperature of photovoltaic modules.pdf,read or scanned\Measuring and estimating the temperature of photovoltaic modules.pdf,615473,2026-08-04T12:59:03
Methodology of energy yield modelling of perovskite-based multi-junction photovoltaics.pdf,read or scanned\Methodology of energy yield modelling of perovskite-based multi-junction photovoltaics.pdf,4428134,2026-01-23T12:51:38
Method_of_Extracting_Solar_Cell_Parameters_From_Derivatives_of_Dark_IV_Curves.pdf,read or scanned\Method_of_Extracting_Solar_Cell_Parameters_From_Derivatives_of_Dark_IV_Curves.pdf,967397,2026-03-09T09:46:29
Modeling and circuit-based simulation of photovoltaic arrays.pdf,read or scanned\Modeling and circuit-based simulation of photovoltaic arrays.pdf,561048,2026-04-13T09:18:44
Modeling Daylight Availability and Irradiance Components from Direct and Global Irradiance.pdf,read or scanned\Modeling Daylight Availability and Irradiance Components from Direct and Global Irradiance.pdf,1561047,2026-06-22T14:51:32
Modelling and predicting real-world lifetime of perovskite-silicon tandem solar cells using advanced energy yield models with degradation kinetics.pdf,read or scanned\Modelling and predicting real-world lifetime of perovskite-silicon tandem solar cells using advanced energy yield models with degradation kinetics.pdf,2192578,2026-05-07T16:35:07
Modelling bifacial irradiance – Step-by-step comparison and validation of view factor and ray tracing models.pdf,read or scanned\Modelling bifacial irradiance – Step-by-step comparison and validation of view factor and ray tracing models.pdf,6171668,2026-02-18T14:45:09
Modelling of thin-film silicon solar cells.pdf,read or scanned\Modelling of thin-film silicon solar cells.pdf,5736459,2026-07-01T11:05:59
Model‐Chain Validation for Estimating the Energy Yield of Bifacial Perovskite Silicon Tandem.pdf,read or scanned\Model‐Chain Validation for Estimating the Energy Yield of Bifacial Perovskite Silicon Tandem.pdf,3689127,2026-02-17T16:56:23
Multilayer optical calculations.pdf,read or scanned\Multilayer optical calculations.pdf,411151,2026-07-10T12:07:31
Numerical optical optimization of monolithic planar perovskite-silicon tandem solar cells with regular and inverted device architectures.pdf,read or scanned\Numerical optical optimization of monolithic planar perovskite-silicon tandem solar cells with regular and inverted device architectures.pdf,2236665,2026-04-08T11:35:11
On the quantification of Auger recombination in crystalline silicon.pdf,read or scanned\On the quantification of Auger recombination in crystalline silicon.pdf,1562660,2026-02-27T15:15:42
Open-source integrated optical modelling with RayFlare.pdf,read or scanned\Open-source integrated optical modelling with RayFlare.pdf,414451,2026-07-01T11:51:36
Open‐source photovoltaic model pipeline validation against well‐characterized.pdf,read or scanned\Open‐source photovoltaic model pipeline validation against well‐characterized.pdf,2057694,2025-12-01T16:14:55
Optical model for multilayer structures with.pdf,read or scanned\Optical model for multilayer structures with.pdf,897300,2026-07-01T10:46:18
Optical simulation of photovoltaic modules with.pdf,read or scanned\Optical simulation of photovoltaic modules with.pdf,2136999,2026-07-01T10:49:57
Optimal ground coverage ratios for tracked fixed-tilt and vertical.pdf,read or scanned\Optimal ground coverage ratios for tracked fixed-tilt and vertical.pdf,2931251,2026-05-28T10:35:23
Optimizing energy yield of monolithic perovskite-silicon tandem solar cells in real-world Conditions - The impact of luminescent coupling.pdf,read or scanned\Optimizing energy yield of monolithic perovskite-silicon tandem solar cells in real-world Conditions - The impact of luminescent coupling.pdf,6788827,2026-02-04T16:59:59
Perovskite Silicon Tandem Solar Cells  Effect of Luminescent Coupling and Bifaciality.pdf,read or scanned\Perovskite Silicon Tandem Solar Cells  Effect of Luminescent Coupling and Bifaciality.pdf,1548625,2026-02-04T16:58:35
Photovoltaic Module Cell Temperature Estimation Under Various Environmental Conditions - Preliminary Experimental and Theoretical Study.pdf,read or scanned\Photovoltaic Module Cell Temperature Estimation Under Various Environmental Conditions - Preliminary Experimental and Theoretical Study.pdf,1049641,2026-08-12T15:45:46
Photovoltaic_module_cell_temperature_measurements_using_linear_interpolation_technique.pdf,read or scanned\Photovoltaic_module_cell_temperature_measurements_using_linear_interpolation_technique.pdf,1465955,2026-08-04T12:04:18
Predicting and optimising the energy yield of perovskite-on-silicon tandem solar cells under real world conditions.pdf,read or scanned\Predicting and optimising the energy yield of perovskite-on-silicon tandem solar cells under real world conditions.pdf,3025089,2026-04-29T09:57:16
Prediction of the open‐circuit voltage of solar cells from the steady‐state.pdf,read or scanned\Prediction of the open‐circuit voltage of solar cells from the steady‐state.pdf,396370,2026-07-13T15:34:22
prospects-for-climate-specific-design-of-perovskite-silicon-tandem-solar-cells-and-the-influence-of-degradation-rates.pdf,read or scanned\prospects-for-climate-specific-design-of-perovskite-silicon-tandem-solar-cells-and-the-influence-of-degradation-rates.pdf,4426220,2025-12-03T09:41:10
PV multiscale modelling of perovskite-silicon two-terminal devices from accurate cell performance simulation to energy yield predict.pdf,read or scanned\PV multiscale modelling of perovskite-silicon two-terminal devices from accurate cell performance simulation to energy yield predict.pdf,13139269,2026-06-29T15:00:49
Rapid and Accurate Determination of Series Resistance and Fill Factor Losses in Industrial Silicon Solar Cells.pdf,read or scanned\Rapid and Accurate Determination of Series Resistance and Fill Factor Losses in Industrial Silicon Solar Cells.pdf,133822,2026-04-13T12:03:40
Ray Tracing of Light Trapping Strategies in Thin Silicon Solar Cells.pdf,read or scanned\Ray Tracing of Light Trapping Strategies in Thin Silicon Solar Cells.pdf,3011721,2026-04-08T15:07:28
RayFlare - flexible optical modelling of solar cells.pdf,read or scanned\RayFlare - flexible optical modelling of solar cells.pdf,162317,2026-07-13T16:10:21
Reassessment of the intrinsic bulk recombination in crystalline silicon.pdf,read or scanned\Reassessment of the intrinsic bulk recombination in crystalline silicon.pdf,6099711,2026-02-27T12:18:48
Review of methods to account for the solar spectral influence on photovoltaic device performance.pdf,read or scanned\Review of methods to account for the solar spectral influence on photovoltaic device performance.pdf,3161418,2026-06-25T15:43:38
Sandia Report SAND2004-3535 Photovoltaic Array Performance Model - King model for temperature.pdf,read or scanned\Sandia Report SAND2004-3535 Photovoltaic Array Performance Model - King model for temperature.pdf,1852097,2026-08-04T16:16:33
Semantic Peformance Loss Analysis of Photovoltaic Modules Under Stress.pdf,read or scanned\Semantic Peformance Loss Analysis of Photovoltaic Modules Under Stress.pdf,5709461,2026-07-10T09:46:55
Simulation-Based Analysis of Silicon Solar Cell Performance with Laser Enhanced Contact Impact of Bulk Defect Density and Resistivity.pdf,read or scanned\Simulation-Based Analysis of Silicon Solar Cell Performance with Laser Enhanced Contact Impact of Bulk Defect Density and Resistivity.pdf,2244512,2026-01-20T10:27:24
Solar radiation on inclined surfaces - Corrections and benchmarks.pdf,read or scanned\Solar radiation on inclined surfaces - Corrections and benchmarks.pdf,723699,2026-02-05T10:28:49
Spectral_correction_in_yield_forecasts_for_two-terminal_perovskitesilicon_tandem_modules.pdf,read or scanned\Spectral_correction_in_yield_forecasts_for_two-terminal_perovskitesilicon_tandem_modules.pdf,1472058,2026-02-02T15:34:15
Supplement -- Energy yield modelling of textured perovskite-silicon tandem photovoltaics with thick perovskite top cells.pdf,read or scanned\Supplement -- Energy yield modelling of textured perovskite-silicon tandem photovoltaics with thick perovskite top cells.pdf,2357356,2025-12-05T16:20:37
Supplementary -- Energy yield prediction of bifacial perovskite-silicon tandem photovoltaic modules.pdf,read or scanned\Supplementary -- Energy yield prediction of bifacial perovskite-silicon tandem photovoltaic modules.pdf,3077328,2026-04-30T15:29:30
Supplementary -- Optimizing energy yield of monolithic perovskite-silicon tandem solar cells in real-world Conditions - The impact of luminescent coupling.pdf,read or scanned\Supplementary -- Optimizing energy yield of monolithic perovskite-silicon tandem solar cells in real-world Conditions - The impact of luminescent coupling.pdf,8015200,2026-02-04T15:39:14
Supplementary --- Prospects for Climate-Specific Design of Perovskite-Silicon Tandem Solar Cells and the Influence of Degradation Rates.pdf,read or scanned\Supplementary --- Prospects for Climate-Specific Design of Perovskite-Silicon Tandem Solar Cells and the Influence of Degradation Rates.pdf,6286760,2025-11-28T15:47:45
Supplementary---temperature-coefficients-of-perovskite-silicon-tandem-solar-cells---Supplementary.pdf,read or scanned\Supplementary---temperature-coefficients-of-perovskite-silicon-tandem-solar-cells---Supplementary.pdf,489943,2025-11-24T16:46:30
Temperature dependence of Auger recombination in crystalline silicon from 117–463 K.pdf,read or scanned\Temperature dependence of Auger recombination in crystalline silicon from 117–463 K.pdf,3330414,2026-01-20T11:55:17
temperature-coefficients-of-perovskite-silicon-tandem-solar-cells.pdf,read or scanned\temperature-coefficients-of-perovskite-silicon-tandem-solar-cells.pdf,1967370,2025-11-24T16:31:06
The intrinsic adjusted single-diode model- Solid State Physics meets accurate yield simulation.pdf,read or scanned\The intrinsic adjusted single-diode model- Solid State Physics meets accurate yield simulation.pdf,6380807,2026-04-20T15:27:48
The SMARTS spectral irradiance model after 25 years- New developments and validation of reference spectra.pdf,read or scanned\The SMARTS spectral irradiance model after 25 years- New developments and validation of reference spectra.pdf,4368691,2026-03-06T12:16:33
Time‐varying ray tracing irradiance simulation approach for photovoltaic.pdf,read or scanned\Time‐varying ray tracing irradiance simulation approach for photovoltaic.pdf,3902268,2026-04-08T16:28:38
Transient Weighted Moving-Average Model of Photovoltaic Module Back-Surface Temperature.pdf,read or scanned\Transient Weighted Moving-Average Model of Photovoltaic Module Back-Surface Temperature.pdf,1714913,2026-08-05T14:48:54
Unveiling Auger recombination current component in rectification curves of silicon heterojunction solar cells.pdf,read or scanned\Unveiling Auger recombination current component in rectification curves of silicon heterojunction solar cells.pdf,1858017,2026-07-21T09:46:39
Unveiling the mechanism of attaining high fill factor in silicon solar cells.pdf,read or scanned\Unveiling the mechanism of attaining high fill factor in silicon solar cells.pdf,5951903,2026-03-10T11:15:04
